# # k Pk
1.000000000000000048e-04 2.602011391304654921e+02
3.102902902902902448e-03 6.425391701496449059e+03
6.105805805805805501e-03 1.047635905967818144e+04
9.108708708708706386e-03 1.298382975875506963e+04
1.211161161161160987e-02 1.436847157852690725e+04
1.511451451451451336e-02 1.492800834363528520e+04
1.811741741741741338e-02 1.488633813109048788e+04
2.112032032032031686e-02 1.442302075313153364e+04
2.412322322322322035e-02 1.368680418108510639e+04
2.712612612612612384e-02 1.279880774401683084e+04
3.012902902902902733e-02 1.185606928991185123e+04
3.313193193193193081e-02 1.093239363237864018e+04
3.613483483483483083e-02 1.007178027771009511e+04
3.913773773773773779e-02 9.308402033115416998e+03
4.214064064064063780e-02 8.653467133848978847e+03
4.514354354354354476e-02 8.104616554018075476e+03
4.814644644644644478e-02 7.653843806390784266e+03
5.114934934934934480e-02 7.287733425738401820e+03
5.415225225225225175e-02 6.987457407525503186e+03
5.715515515515515177e-02 6.733881629451767367e+03
6.015805805805805873e-02 6.508411855625552562e+03
6.316096096096095180e-02 6.294320672968172403e+03
6.616386386386385876e-02 6.078136681132347803e+03
6.916676676676676572e-02 5.850435516236881085e+03
7.216966966966965880e-02 5.606232743180327816e+03
7.517257257257256575e-02 5.344869659564549693e+03
7.817547547547547271e-02 5.069440644309252093e+03
8.117837837837837967e-02 4.785854827682195719e+03
8.418128128128127274e-02 4.501672581380112206e+03
8.718418418418417970e-02 4.224940194704551686e+03
9.018708708708708666e-02 3.963139921239217074e+03
9.318998998998997974e-02 3.722409339212109444e+03
9.619289289289288669e-02 3.507053698397740845e+03
9.919579579579579365e-02 3.319346285347779485e+03
1.021986986986986867e-01 3.159601592175189126e+03
1.052016016016015937e-01 3.026411284715068632e+03
1.082045045045045006e-01 2.916946485317411771e+03
1.112074074074073937e-01 2.827311863163837643e+03
1.142103103103103007e-01 2.752935041076726975e+03
1.172132132132132076e-01 2.688954533184818047e+03
1.202161161161161146e-01 2.630580460304749522e+03
1.232190190190190077e-01 2.573426131014472958e+03
1.262219219219218869e-01 2.513858995084529397e+03
1.292248248248248077e-01 2.449257203348078747e+03
1.322277277277277008e-01 2.378121469193430585e+03
1.352306306306305939e-01 2.300130423199295819e+03
1.382335335335335147e-01 2.216063994173184255e+03
1.412364364364364078e-01 2.127509427811763999e+03
1.442393393393393008e-01 2.036649160779373915e+03
1.472422422422422217e-01 1.945964109903273084e+03
1.502451451451451148e-01 1.857853402239078605e+03
1.532480480480480356e-01 1.774515758537238980e+03
1.562509509509509287e-01 1.697658292220600970e+03
1.592538538538538218e-01 1.628484766691488176e+03
1.622567567567567426e-01 1.567552194797060793e+03
1.652596596596596357e-01 1.514923018555435192e+03
1.682625625625625287e-01 1.470071425345625130e+03
1.712654654654654496e-01 1.432120503839265439e+03
1.742683683683683427e-01 1.399793634475999170e+03
1.772712712712712357e-01 1.371735093144045095e+03
1.802741741741741566e-01 1.346520223365272841e+03
1.832770770770770496e-01 1.322756950523767046e+03
1.862799799799799427e-01 1.299104278299570296e+03
1.892828828828828636e-01 1.274460914516909497e+03
1.922857857857857566e-01 1.247956099356494860e+03
1.952886886886886497e-01 1.219157526448674162e+03
1.982915915915915706e-01 1.188036032091451943e+03
2.012944944944944636e-01 1.154855481459996327e+03
2.042973973973973567e-01 1.120212189691277899e+03
2.073003003003002775e-01 1.084765268652175109e+03
2.103032032032031706e-01 1.049345542522124106e+03
2.133061061061060637e-01 1.014691182301578010e+03
2.163090090090089845e-01 9.814729162771874371e+02
2.193119119119118776e-01 9.502443866876628817e+02
2.223148148148147707e-01 9.213743492933489279e+02
2.253177177177176915e-01 8.950877696244214121e+02
2.283206206206205846e-01 8.714815637338588203e+02
2.313235235235234777e-01 8.504229810405695389e+02
2.343264264264263985e-01 8.317423249847316811e+02
2.373293293293292916e-01 8.150958582153584757e+02
2.403322322322322124e-01 8.000364603345041132e+02
2.433351351351351055e-01 7.861439204506201577e+02
2.463380380380379986e-01 7.729401599671841723e+02
2.493409409409409194e-01 7.599814915567665139e+02
2.523438438438437847e-01 7.469173270697425551e+02
2.553467467467467333e-01 7.335003231540887327e+02
2.583496496496496264e-01 7.195313413850134339e+02
2.613525525525525195e-01 7.049523270858942396e+02
2.643554554554554126e-01 6.898129016495926180e+02
2.673583583583583057e-01 6.741788882884051191e+02
2.703612612612611987e-01 6.582366743864977252e+02
2.733641641641641473e-01 6.422234156849310693e+02
2.763670670670670404e-01 6.263510565189933459e+02
2.793699699699699335e-01 6.108551714516320317e+02
2.823728728728728266e-01 5.959636130490705455e+02
2.853757757757757196e-01 5.818618621959790289e+02
2.883786786786786127e-01 5.686412758036445894e+02
2.913815815815815613e-01 5.563359673820153830e+02
2.943844844844844544e-01 5.449681047663051459e+02
2.973873873873873475e-01 5.344823499793405972e+02
3.003902902902902405e-01 5.247558540220893519e+02
3.033931931931931336e-01 5.156759925636781645e+02
3.063960960960960822e-01 5.071220059388520554e+02
3.093989989989989753e-01 4.989417149961804512e+02
3.124019019019018684e-01 4.909938360887847466e+02
3.154048048048047614e-01 4.831551737397393822e+02
3.184077077077076545e-01 4.753340519470614822e+02
3.214106106106105476e-01 4.674575420581114713e+02
3.244135135135134962e-01 4.594623621828213231e+02
3.274164164164163893e-01 4.513272819229736115e+02
3.304193193193192823e-01 4.430968316347121458e+02
3.334222222222221754e-01 4.348183036362131020e+02
3.364251251251250685e-01 4.265358972291944610e+02
3.394280280280279616e-01 4.183132584870380697e+02
3.424309309309309102e-01 4.102250914782954396e+02
3.454338338338338033e-01 4.023372541545950298e+02
