#  r W0 W2 w4
2.920749474312418936e+00 7.010779138278217304e-11 -2.006805583059131959e-15 8.213234628471492363e-15
2.923643742665151812e+00 7.010800792371294926e-11 8.846866556458908268e-15 -8.198972148362087703e-15
2.926540879045207877e+00 7.010776110875488684e-11 -1.979387006211782796e-15 8.192179041241043771e-15
2.929440886294611968e+00 7.010796798553796904e-11 8.846619604584429891e-15 -8.177913727486272357e-15
2.932343767258210221e+00 7.010773066830935626e-11 -1.951949665641182749e-15 8.171177072228174820e-15
2.935249524783650532e+00 7.010792793536478890e-11 8.846461463820659569e-15 -8.156908755136598047e-15
2.938158161721419415e+00 7.010770006098282542e-11 -1.924493296662962213e-15 8.150228703131344064e-15
2.941069680924823349e+00 7.010788777255189152e-11 8.846392253998539653e-15 -8.135957005092164515e-15
2.943984085249996330e+00 7.010766928640389025e-11 -1.897017632460224687e-15 8.129333825297984324e-15
2.946901377555901647e+00 7.010784749643686031e-11 8.846412135857317981e-15 -8.115058442497099018e-15
2.949821560704335432e+00 7.010763834403754583e-11 -1.869522274611897435e-15 8.108492256099418614e-15
2.952744637559930663e+00 7.010780710635842899e-11 8.846521213198210736e-15 -8.094212841993317912e-15
2.955670610990158931e+00 7.010760723357641700e-11 -1.842007025519364988e-15 8.087703823913042124e-15
2.958599483865332225e+00 7.010776660159732526e-11 8.846719572092646418e-15 -8.073420189948214549e-15
2.961531259058608256e+00 7.010757595445166202e-11 -1.814471594917582364e-15 8.066968474361902730e-15
2.964465939445990461e+00 7.010772598153561934e-11 8.847007395456878100e-15 -8.052680199551731067e-15
2.967403527906332883e+00 7.010754450632360690e-11 -1.786915554121165826e-15 8.046286038615299005e-15
2.970344027321342839e+00 7.010768524538031645e-11 8.847384820748511189e-15 -8.031992837126843218e-15
2.973287440575582696e+00 7.010751288871365013e-11 -1.759338686653620236e-15 8.025656392596151688e-15
2.976233770556472980e+00 7.010764439257755453e-11 8.847851985927893725e-15 -8.011357971946265450e-15
2.979183020154295480e+00 7.010748110115694204e-11 -1.731740691926508660e-15 8.005079425652997375e-15
2.982135192262195922e+00 7.010760342236268267e-11 8.848408984060110028e-15 -7.990775441630283694e-15
2.985090289776187955e+00 7.010744914321820468e-11 -1.704121247417783873e-15 7.984554950357958102e-15
2.988048315595154492e+00 7.010756233413661531e-11 8.849055944092944269e-15 -7.970245066600555183e-15
2.991009272620850368e+00 7.010741701440677779e-11 -1.676480036337002850e-15 7.964082880147046931e-15
2.993973163757906786e+00 7.010752112706346058e-11 8.849793041820773824e-15 -7.949766847885462658e-15
2.996939991913832646e+00 7.010738471431236685e-11 -1.648816774093371458e-15 7.943663040699241998e-15
2.999909759999024317e+00 7.010747980062262462e-11 8.850620434288293790e-15 -7.929340571215369083e-15
3.002882470926743874e+00 7.010735224245708119e-11 -1.621131142237955364e-15 7.923295412198387340e-15
3.005858127613158182e+00 7.010743835402199150e-11 8.851538163182050908e-15 -7.908965994406614429e-15
3.008836732977318018e+00 7.010731959839477319e-11 -1.593422845254676492e-15 7.902979763741832062e-15
3.011818289941167404e+00 7.010739678660356492e-11 8.852546427213349347e-15 -7.888643158471502868e-15
3.014802801429545376e+00 7.010728678162256874e-11 -1.565691569853918856e-15 7.882715948607133903e-15
3.017790270370188210e+00 7.010735509762694066e-11 8.853645416395323605e-15 -7.868371940135581667e-15
3.020780699693734750e+00 7.010725379169770648e-11 -1.537936995398313668e-15 7.862503911615010822e-15
3.023774092333727292e+00 7.010731328644506962e-11 8.854835175830171395e-15 -7.848152053880888751e-15
3.026770451226615144e+00 7.010722062819142253e-11 -1.510158827171524318e-15 7.842343489368326445e-15
3.029769779311758171e+00 7.010727135232890842e-11 8.856115898863587466e-15 -7.827983461832307751e-15
3.032772079531428133e+00 7.010718729054874331e-11 -1.482356756071508075e-15 7.822234558460579034e-15
3.035777354830811348e+00 7.010722929464381565e-11 8.857487723887515123e-15 -7.807866077543511909e-15
3.038785608158015350e+00 7.010715377837543970e-11 -1.454530456808843371e-15 7.802176963476405739e-15
3.041796842464066675e+00 7.010718711259457347e-11 8.858950811481875967e-15 -7.787799671767211834e-15
3.044811060702917516e+00 7.010712009112341409e-11 -1.426679613306040731e-15 7.782170656435620232e-15
3.047828265831446171e+00 7.010714480551978636e-11 8.860505281981927972e-15 -7.767784152305353914e-15
3.050848460809461482e+00 7.010708622836019319e-11 -1.398803939221594510e-15 7.762215441522922969e-15
3.053871648599706390e+00 7.010710237274512118e-11 8.862151255841778896e-15 -7.747819444627437407e-15
3.056897832167857043e+00 7.010705218959819279e-11 -1.370903089717858066e-15 7.742311161808641086e-15
3.059927014482530794e+00 7.010705981352173391e-11 8.863888951096142683e-15 -7.727905365416112913e-15
3.062959198515286197e+00 7.010701797428349915e-11 -1.342976789279294674e-15 7.722457751850470539e-15
3.065994387240631447e+00 7.010701712716223744e-11 8.865718471364991567e-15 -7.708041797716443501e-15
3.069032583636005729e+00 7.010698358201270664e-11 -1.315024717072206802e-15 7.702655117177284997e-15
3.072073790681815186e+00 7.010697431293785983e-11 8.867639972420289815e-15 -7.688228599180687634e-15
3.075118011361414272e+00 7.010694901228498323e-11 -1.287046528275122807e-15 7.682903036575029143e-15
3.078165248661113740e+00 7.010693137012260790e-11 8.869653565440294254e-15 -7.668465638818824901e-15
3.081215505570182422e+00 7.010691426452327998e-11 -1.259041909669020287e-15 7.663201435508488004e-15
3.084268785080853448e+00 7.010688829804864963e-11 8.871759476599079939e-15 -7.648752810865806180e-15
3.087325090188323351e+00 7.010687933832134781e-11 -1.231010593865334374e-15 7.643550209458872272e-15
3.090384423890756960e+00 7.010684509591555854e-11 8.873957822504909411e-15 -7.629089993554000887e-15
3.093446789189290502e+00 7.010684423314892517e-11 -1.202952216313426338e-15 7.623949200212505431e-15
3.096512189088034273e+00 7.010680176311829077e-11 8.876248775512589237e-15 -7.609477070332859545e-15
3.099580626594074850e+00 7.010680894850388759e-11 -1.174866448567657313e-15 7.604398263296457822e-15
3.102652104717479098e+00 7.010675829888593986e-11 8.878632458427801026e-15 -7.589913849052313394e-15
3.105726626471296381e+00 7.010677348385084240e-11 -1.146753006587598939e-15 7.584897341528884552e-15
3.108804194871560789e+00 7.010671470247409494e-11 8.881109016604176107e-15 -7.570400252697085523e-15
3.111884812937298239e+00 7.010673783868006541e-11 -1.118611579447864576e-15 7.565446241667723529e-15
3.114968483690523371e+00 7.010667097312005672e-11 8.883678676692128992e-15 -7.550936180703795158e-15
3.118055210156245760e+00 7.010670201253625832e-11 -1.090441805841069392e-15 7.546044870212029005e-15
3.121144995362473473e+00 7.010662711019241497e-11 8.886341554687335442e-15 -7.531521454966509988e-15
3.124237842340214844e+00 7.010666600488247750e-11 -1.062243388569736864e-15 7.526693125209351325e-15
3.127333754123482468e+00 7.010658311292763028e-11 8.889097787865614178e-15 -7.512155942972644943e-15
3.130432733749293650e+00 7.010662981518454523e-11 -1.034016018619070107e-15 7.507390841957145511e-15
3.133534784257681949e+00 7.010653898059456548e-11 8.891947582671652682e-15 -7.492839602869151564e-15
3.136639908691676748e+00 7.010659344290096840e-11 -1.005759349325981777e-15 7.488137902158216758e-15
3.139748110097338785e+00 7.010649471237706471e-11 8.894891038883288772e-15 -7.473572204000565368e-15
3.142859391523742385e+00 7.010655688755821196e-11 -9.774730944534106249e-16 7.468934260199319595e-15
3.145973756022983459e+00 7.010645030771722049e-11 8.897928393089681911e-15 -7.454353646793336688e-15
3.149091206650182162e+00 7.010652014861137067e-11 -9.491568463299147660e-16 7.449779679540506858e-15
3.152211746463485120e+00 7.010640576567962081e-11 8.901059788347456667e-15 -7.435183902289075892e-15
3.155335378524071199e+00 7.010648322549812976e-11 -9.208103843050857209e-16 7.430674081010341258e-15
3.158462105896151062e+00 7.010636108566203940e-11 8.904285353877671247e-15 -7.416062754006495509e-15
3.161591931646972053e+00 7.010644611774335149e-11 -8.924333145694913715e-16 7.411617383447666889e-15
3.164724858846822197e+00 7.010631626686395931e-11 8.907605309675660290e-15 -7.396990036661208847e-15
3.167860890569030197e+00 7.010640882476848766e-11 -8.640253409551818842e-16 7.392609475253208703e-15
3.171000029889971650e+00 7.010627130857251885e-11 8.911019773150051986e-15 -7.377965709067491706e-15
3.174142279889070384e+00 7.010637134604733507e-11 -8.355861360965173891e-16 7.373650161670776030e-15
3.177287643648800675e+00 7.010622621003217902e-11 8.914528939072897844e-15 -7.358989694317071428e-15
3.180436124254692132e+00 7.010633368102980569e-11 -8.071153319207863159e-16 7.354739283964854555e-15
3.183587724795332807e+00 7.010618097046674714e-11 8.918132998460124456e-15 -7.340061749192474725e-15
3.186742448362369196e+00 7.010629582920757119e-11 -7.786126549206233956e-16 7.335876884903620295e-15
3.189900298050513339e+00 7.010613558914182899e-11 8.921832060158920454e-15 -7.321181796968594548e-15
3.193061276957543271e+00 7.010625778997040492e-11 -7.500777911977658273e-16 7.317062749595124357e-15
3.196225388184306571e+00 7.010609006533600675e-11 8.925626335729160420e-15 -7.302349725541643015e-15
3.199392634834723026e+00 7.010621956283653880e-11 -7.215103187914860031e-16 7.298296701725881021e-15
3.202563020015796624e+00 7.010604439825901275e-11 8.929516026972307591e-15 -7.283565410026597412e-15
3.205736546837588019e+00 7.010618114724076289e-11 -6.929099629915368232e-16 7.279578732921044728e-15
3.208913218413260715e+00 7.010599858717857243e-11 8.933501272641493130e-15 -7.264828749229169680e-15
3.212093037859057532e+00 7.010614254254872014e-11 -6.642764147682653772e-16 7.260908651284757144e-15
3.215276008294307708e+00 7.010595263132297797e-11 8.937582252002883880e-15 -7.246139569427504632e-15
3.218462132841431345e+00 7.010610374831192356e-11 -6.356093030876864999e-16 7.242286370007954334e-15
3.221651414625944732e+00 7.010590652994657775e-11 8.941759140100590544e-15 -7.227497787498203768e-15
3.224843856776459905e+00 7.010606476388597361e-11 -6.069083170359149462e-16 7.223711755437282631e-15
3.228039462424688200e+00 7.010586028223914835e-11 8.946032106761527543e-15 -7.208903299638375365e-15
3.231238234705445578e+00 7.010602558874284471e-11 -5.781730943364231443e-16 7.205184700064315047e-15
3.234440176756654406e+00 7.010581388749007702e-11 8.950401407613564214e-15 -7.190355917094384977e-15
3.237645291719346563e+00 7.010598622235440789e-11 -5.494033326112806685e-16 7.186705075080749066e-15
3.240853582737666105e+00 7.010576734488727918e-11 8.954867120643529090e-15 -7.171855574094628042e-15
3.244065052958871931e+00 7.010594666405284406e-11 -5.205987022314624351e-16 7.168272799540068367e-15
3.247279705533343996e+00 7.010572065374645675e-11 8.959429451070117254e-15 -7.153402159409639617e-15
3.250497543614581097e+00 7.010590691334948333e-11 -4.917588024016540385e-16 7.149887644174299623e-15
3.253718570359208861e+00 7.010567381315216636e-11 8.964088654518894569e-15 -7.134995554798142512e-15
3.256942788926981525e+00 7.010586696961111895e-11 -4.628833691914986517e-16 7.131549618820953265e-15
3.260170202480782375e+00 7.010562682247555687e-11 8.968844815292806958e-15 -7.116635566435483503e-15
3.263400814186629528e+00 7.010582683230458133e-11 -4.339720709823931385e-16 7.113258626472191344e-15
3.266634627213680364e+00 7.010557968086278402e-11 8.973698167377604080e-15 -7.098322121221579661e-15
3.269871644734229754e+00 7.010578650081566299e-11 -4.050244959113953614e-16 7.095014402260046348e-15
3.273111869923718054e+00 7.010553238754319982e-11 8.978648934268428799e-15 -7.080055152254402948e-15
3.276355305960738651e+00 7.010574597453241832e-11 -3.760403353076189049e-16 7.076816938362565604e-15
3.279601956027013987e+00 7.010548494174375229e-11 8.983697256252696249e-15 -7.061834463373935805e-15
3.282851823307439965e+00 7.010570525293770433e-11 -3.470192587705126040e-16 7.058666084590985769e-15
3.286104910990061523e+00 7.010543734268309179e-11 8.988843325121843249e-15 -7.043659971908883805e-15
3.289361222266083296e+00 7.010566433541165255e-11 -3.179609206416260083e-16 7.040561775073303953e-15
3.292620760329871388e+00 7.010538958955100785e-11 8.994087334227132327e-15 -7.025531522377295562e-15
3.295883528378958260e+00 7.010562322131255177e-11 -2.888649966627758191e-16 7.022503822306126906e-15
3.299149529614043175e+00 7.010534168159481779e-11 8.999429488334469762e-15 -7.007449104332506201e-15
3.302418767239000186e+00 7.010558191008589372e-11 -2.597311070006280022e-16 7.004492102533662635e-15
3.305691244460875478e+00 7.010529361800719335e-11 9.004869967194886286e-15 -6.989412490243894154e-15
